股票代码,股票名称,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SH605300,佳禾食品,30.71,+1.83,6.34%,172.98%,19390265,569408309.48,48.46%,52.682,,12284307100
SH600521,华海药业,21.9,+0.2,0.92%,-35.23%,25812981,568040524.68,1.77%,33.037,0.913%,31855916229
SH600993,马应龙,23.24,+0.93,4.17%,15.39%,24570563,567156361.47,5.71%,23.464,1.291%,10017692427
SH603288,海天味业,136.8,-1.22,-0.88%,-10.79%,4082663,561389409.24,0.1%,85.456,0.579%,576280420056
SH603882,金域医学,144.15,-4.97,-3.33%,12.51%,3860908,560534138.83,0.84%,33.345,0.228%,66685415291
SH605090,九丰能源,37.79,+0.64,1.72%,9.31%,14846356,555733720.52,17.89%,17.641,,16739831236
SH601336,新华保险,49.18,-0.3,-0.61%,-15.16%,11149059,553315711.48,0.53%,9.61,2.826%,153419301788
SH605337,李子园,59.36,+1.66,2.88%,317.56%,9204176,551340958.87,16.99%,50.474,0.602%,12864499200
SH600076,康欣新材,5.01,+0.13,2.66%,38.02%,107464460,543051914.49,10.39%,,0,6736162269
SH601168,西部矿业,13.62,+0.08,0.59%,10.02%,39380774,536779301.47,1.65%,24.341,0.881%,32456460000
SH600166,福田汽车,3.67,-0.13,-3.42%,16.51%,144399279,536146223.41,2.2%,29.396,0,24130954812
SH601678,滨化股份,6.9,+0.29,4.39%,33.39%,77338565,535744355.02,4.01%,13.795,1.449%,13309575855
SH600000,浦发银行,10.23,+0.01,0.1%,5.68%,52244908,535599653.07,0.18%,5.033,4.692%,300272437335
SH601966,玲珑轮胎,45.2,-1.3,-2.8%,28.52%,11470100,523800007.72,0.85%,26.492,1.084%,62082761022
SH600919,江苏银行,7.86,+0.08,1.03%,43.96%,66527326,523180977.41,0.45%,7.239,4.02%,116089117591
SH601001,晋控煤业,7.67,+0.36,4.92%,21.75%,67346337,520092548.41,4.02%,11.788,0,12837279000
SH603005,晶方科技,61.63,-0.26,-0.42%,-4.24%,8337737,514406374.64,2.59%,46.877,0.381%,20958191405
SH603987,康德莱,28.41,-0.84,-2.87%,81.07%,17968070,511005004.37,4.1%,57.873,0,12546111690
SH600837,海通证券,11.59,+0.05,0.43%,-9.88%,43330745,504551683.11,0.51%,12.401,4.573%,151414078000
SH600751,海航科技,3.88,+0.35,9.92%,46.97%,133703906,502857443.22,5.2%,,0,11249430598
SH600298,安琪酵母,62.08,-0.22,-0.35%,21.56%,7958191,496625411.42,0.97%,34.235,0.797%,51704007341
SH600740,山西焦化,5.23,+0.04,0.77%,18.96%,93061505,491185260.02,3.63%,9.251,2.942%,13399893635
SH603518,锦泓集团,21.95,+0.45,2.09%,327.04%,22364655,490418310.97,8.02%,,0,6171779638
SH600507,XD方大特,7.69,-0.25,-3.15%,26.15%,64185144,490141994,2.98%,6.846,14.304%,16579257215
SH600160,巨化股份,10.23,+0.38,3.86%,26.14%,47714549,486859579.79,1.77%,285.887,0.978%,27618402409
SH601456,国联证券,14.94,-0.22,-1.45%,-29.96%,32059907,486537854.55,6.74%,68.872,0.803%,35529097860
SH605055,迎丰股份,11.85,+0.06,0.51%,145.85%,40215633,484822160.98,50.27%,49.284,0,5214000000
SH601058,赛轮轮胎,10.18,+0.06,0.59%,68.54%,47882841,481213296.94,1.87%,19.26,1.473%,31193299179
SH600989,宝丰能源,14.12,-0.21,-1.47%,22.94%,33686161,479728782.04,1.69%,18.729,1.983%,103547043200
SH600340,华夏幸福,5.43,-0.15,-2.69%,-58%,85931952,476652968.2,2.21%,,0,21251501457
SH600859,王府井,33.07,+0.08,0.24%,1.5%,14246858,473783826.47,1.84%,30.127,0.454%,25670599075
SH601162,天风证券,4.9,-0.03,-0.61%,-19.67%,95598120,473561753.88,2.49%,91.645,0,42462211574
SH600409,三友化工,10.91,+0.17,1.58%,6.44%,43546290,473151464.21,2.11%,14.779,2.246%,22522052478
SH600999,招商证券,19.81,-0.1,-0.5%,-15.12%,23649411,473094101.41,0.32%,16.715,3.84%,172278196027
SH603160,汇顶科技,127.16,-2.64,-2.03%,-18.25%,3667109,471474398.09,0.81%,36.133,0.354%,58211867483
SH601360,三六零,11.93,-0.2,-1.65%,-24.06%,39062809,470781964.04,0.58%,30.196,0,85244182940
SH600415,小商品城,5.5,+0.17,3.19%,-0.18%,85241725,468543965.06,1.57%,29.136,1%,30194527968
SH601238,广汽集团,11.75,-0.27,-2.25%,-11.59%,39451153,467945537.06,0.55%,14.81,1.529%,121635733651
SH603126,中材节能,10.88,-0.37,-3.29%,77.49%,42500141,467326049.44,6.96%,36.919,0.735%,6642240000
SH603236,移远通信,198.35,-1.23,-0.62%,6.1%,2350084,467027223.49,3.31%,102.868,0.257%,22180233672
SH600123,兰花科创,7.36,+0.03,0.41%,28.45%,61508561,463992717.65,5.38%,15.356,1.359%,8408064000
SH601668,中国建筑,4.88,-0.02,-0.41%,-1.81%,94203019,461058402.28,0.23%,4.231,4.4%,204707059079
SH600188,兖州煤业,14.55,+0.62,4.45%,44.49%,31483877,460825249.41,1.06%,9.278,6.871%,70919378073
SH600773,西藏城投,12.7,-0.21,-1.63%,81.95%,35929167,459061833.34,4.82%,91.601,0.079%,10409691449
SH601099,太平洋,3.51,-0.02,-0.57%,-13.97%,129355152,458317278.12,1.9%,,0,23925270459
SH605089,味知香,119.88,-2.2,-1.8%,320.19%,3848267,458158933.36,15.39%,90.106,,11988000000
SH605196,华通线缆,15.7,-0.56,-3.44%,210.89%,29671616,457123758.77,39.04%,53.82,0,7957106939
SH600206,有研新材,13.05,-0.43,-3.19%,-2.32%,34612525,456442409.02,4.1%,49.104,0.912%,11048053423
SH600185,格力地产,7.94,+0.22,2.85%,22.91%,57552626,455993320.83,2.79%,22.386,0,16365065954
SH600048,保利地产,13.39,-0.07,-0.52%,-15.36%,33721015,453955288.45,0.28%,5.513,5.452%,160271515126
SH603345,安井食品,235.5,-0.8,-0.34%,22.1%,1915653,452604952.71,0.8%,83.46,0.315%,57561936780
SH603538,美诺华,40.79,+0.49,1.22%,9.86%,10844479,447896399.14,7.34%,35.052,0,6102563347
SH600381,青海春天,8.4,+0.76,9.95%,-2.44%,55223321,446414904.41,9.41%,,0,4931310224
SH601865,福莱特,29.68,-1.19,-3.85%,-25.61%,14841169,445776350,3.31%,28.293,0.705%,63699015779
SH600354,敦煌种业,5.57,-0.12,-2.11%,27.75%,77976756,443416380.21,14.77%,54.762,0,2939857586
SH600577,精达股份,5.55,+0.08,1.46%,79.4%,80890023,443377057.42,4.21%,22.832,1.261%,10664069478
SH600352,浙江龙盛,14.11,-0.09,-0.63%,3.6%,31264975,443252975.45,0.96%,11.281,1.772%,45904512545
SH600836,界龙实业,6.35,+0.58,10.05%,29.07%,70767849,442269961.17,10.68%,384.743,0,4208482007
SH600256,广汇能源,3.35,0,0%,18.37%,128846827,432805017.19,1.91%,12.036,0,22626009813
SH603218,日月股份,26.43,-0.7,-2.58%,-12.63%,16191876,427525988.65,1.68%,22.805,1.211%,25573773958
SH600663,陆家嘴,13.7,+1.25,10.04%,34.03%,31650491,425084580.62,1.08%,13.365,3.635%,55268504928
SH603733,仙鹤股份,28.67,+2.61,10.02%,16%,15104587,424386778.52,2.14%,22.682,1.081%,20240224866
SH600707,彩虹股份,10.28,-0.02,-0.19%,54.35%,41064877,423612673.55,1.66%,41.695,0,36888646445
SH601727,上海电气,4.45,+0.09,2.06%,-17.59%,94005973,417570857.05,0.74%,16.231,1.613%,69891571359
SH600569,安阳钢铁,3.41,+0.15,4.6%,33.73%,122542092,414037431.72,5.12%,12.502,1.466%,9794956926
SH601996,丰林集团,3.84,-0.37,-8.79%,31.83%,106026342,412856102.35,9.81%,21.792,2.604%,4399191552
SH601009,南京银行,10.48,-0.03,-0.29%,29.7%,38964867,412783067.85,0.46%,7.798,3.75%,104873537877
SH601579,会稽山,13.15,-0.22,-1.65%,-4.99%,30606353,410787774.23,6.15%,19.298,0.38%,6540284000
SH600776,东方通信,12.4,+0.49,4.11%,4.64%,32635403,407938758.67,3.41%,149.738,0.323%,15574400794
SH603290,斯达半导,223.25,-9.55,-4.1%,-7.18%,1807598,407850969.72,2.29%,156.215,0.152%,35720000000
SH600498,烽火通信,18.4,+0.62,3.49%,-23.59%,21812197,403776116.39,1.93%,64.533,0.45%,20820392065
